site	species	sex	tail	body	total	foot	ear
1	deermouse	F	53.69	81.25	134.94	18.14	13.29
1	deermouse	M	51.17	68.95	120.12	17.92	12.62
1	deermouse	M	46.97	82.18	129.15	18.23	12.65
1	deermouse	F	67.9	83.61	151.51	18.38	12.72
1	deermouse	M	53.23	75.6	128.83	18.01	12.24
1	deermouse	F	50.98	73.73	124.71	17.39	13.25
1	deermouse	M	54.14	80.34	134.48	18.34	12.5
1	deermouse	M	64.55	80.13	144.68	18.99	13.08
1	deermouse	M	67.68	84.59	152.27	19.26	12.95
1	deermouse	M	55.34	69.58	124.92	17.16	11.74
1	deermouse	M	65.56	80.57	146.13	19	12.64
1	deermouse	M	55.61	70.16	125.77	18.09	11.31
1	deermouse	M	62.96	75.83	138.79	18.96	12.9
2	deermouse	M	53.08	70.8	123.88	17.61	12.18
2	deermouse	M	55.14	72.45	127.59	18.02	11.76
2	deermouse	F	51.62	72.01	123.63	18.23	13.41
2	deermouse	F	54.69	73.65	128.34	18.26	11.57
2	deermouse	F	49.11	64.51	113.62	17.02	13.37
2	deermouse	M	49.98	66.74	116.72	16.07	12.19
2	deermouse	F	55.68	73.3	128.98	17.88	12.65
8	deermouse	M	64.86	84.07	148.93	17.57	10.35
8	deermouse	M	54.6	77.53	132.13	16.84	10.55
8	deermouse	M	47	65.95	112.95	16.87	9.36
8	deermouse	M	52.36	72.31	124.67	17.49	10.34
8	deermouse	M	61.31	80.99	142.3	19.28	12.86
8	deermouse	M	50.05	74.05	124.1	18.58	12.09
8	deermouse	M	65.61	80.57	146.18	19.68	14
8	deermouse	M	61.07	74.22	135.29	18.44	11.76
8	deermouse	M	62.4	82.64	145.04	19.34	13.43
8	deermouse	M	65.47	84	149.47	18.84	12.76
8	deermouse	M	54.63	76.84	131.47	18.08	12.83
8	deermouse	F	57.03	83.56	140.59	18.18	12.49
8	deermouse	F	49.76	66.55	116.31	17.53	12.36
8	deermouse	M	59.12	79.4	138.52	18.79	12.22
8	deermouse	F	56.11	71.07	127.18	18.55	12.89
8	deermouse	M	59.35	77.31	136.66	17.68	12.82
8	deermouse	M	57.77	73.5	131.27	17.84	12.11
8	deermouse	M	51.4	74.76	126.16	18.57	11.33
8	deermouse	M	63.74	73.39	137.13	18.48	11.74
10	deermouse	M	45.95	70.73	116.68	17.91	12.28
10	deermouse	M	53.97	64.23	118.2	17.15	12.06
10	deermouse	F	65.42	81.82	147.24	18.41	11
10	deermouse	M	57.76	70.34	128.1	18.18	10.31
10	deermouse	M	59.76	71.77	131.53	16.85	12.2
10	deermouse	M	52.79	66.18	118.97	17.67	11.23
10	deermouse	M	62.02	72.79	134.81	19.26	14.2
10	deermouse	F	49.89	71.48	121.37	17.39	13.46
10	deermouse	M	59.01	70.97	129.98	17.59	11.75
10	deermouse	F	54.85	68.65	123.5	17.24	11.73
10	deermouse	M	53.11	68.38	121.49	17.27	11.89
10	deermouse	F	58.6	77.73	136.33	18.11	12.37
10	deermouse	F	54.23	66.89	121.12	17.46	10.58
10	deermouse	M	54.49	71.3	125.79	18.26	11.37
10	deermouse	F	55.67	67.95	123.62	18.2	10.8
10	deermouse	F	56.64	68.26	124.9	17.02	10.91
10	deermouse	M	56.24	71.61	127.85	18.33	11.43
10	deermouse	M	53.41	67.73	121.14	17.84	11.37
10	deermouse	M	67.53	80.58	148.11	18.21	13.14
10	deermouse	F	50.2	68.61	118.81	16.78	10.55
10	deermouse	F	56.01	61.45	117.46	18.33	10.98
10	deermouse	F	28.62	80.65	109.27	17.72	13.35
10	deermouse	M	65.62	75.87	141.49	19.23	11.59
15	deermouse	F	64.12	81.77	145.89	19.3	12.44
15	deermouse	F	50.51	75.56	126.07	17.46	10.71
15	deermouse	F	54.3	74.74	129.04	18.35	12.43
15	deermouse	F	65.45	73.02	138.47	18.86	12.92
15	deermouse	M	56.19	72.72	128.91	19.39	12.69
15	deermouse	M	63.94	76.87	140.81	18.83	13.5
15	deermouse	F	54.13	71.56	125.69	18.16	11.59
15	deermouse	F	53.21	69.96	123.17	18.34	13.58
15	deermouse	F	69.05	79.77	148.82	18.91	12.86
15	deermouse	F	65.48	78.78	144.26	19.12	12.01
15	deermouse	F	51.06	72.69	123.75	17.54	11.41
15	deermouse	M	71.08	80.6	151.68	19.12	12.66
15	deermouse	M	58.9	74.83	133.73	18.88	11.5
15	deermouse	M	55.73	76.44	132.17	18.9	12.32
15	deermouse	F	63.5	70.42	133.92	17.76	12.35
15	deermouse	F	60.9	72.48	133.38	18.59	12.33
15	deermouse	F	67.46	78.78	146.24	18.8	12.91
15	deermouse	M	66.32	82.6	148.92	18.63	12.78
15	deermouse	F	51.49	76.74	128.23	17.85	11.71
15	deermouse	F	62.34	75.08	137.42	18.57	12.73
15	deermouse	M	59.3	69.98	129.28	17.34	11.73
19	deermouse	F	69.88	82.18	152.06	18.5	12.92
19	deermouse	F	58.29	79.7	137.99	17.69	11.94
19	deermouse	F	56.65	73.73	130.38	17.3	11.45
19	deermouse	M	52.79	65.71	118.5	18.87	12.95
19	deermouse	F	57.15	70.75	127.9	17.9	12.48
19	deermouse	M	60.27	79.9	140.17	19.01	14.57
19	deermouse	M	52.08	76.27	128.35	17.9	11.65
19	deermouse	M	60.9	79.05	139.95	17.95	11.84
21	deermouse	F	61.47	73.41	134.88	19.14	13.21
21	deermouse	M	61.24	74.43	135.67	18.86	12.54
21	deermouse	F	60.7	75.24	135.94	19.15	13.77
21	deermouse	M	65.39	78.95	144.34	19.68	15.53
21	deermouse	M	59.69	69.27	128.96	19.16	13.09
21	deermouse	F	79.55	69.27	148.82	17.87	11.72
21	deermouse	F	67.83	80.14	147.97	18.82	14.61
21	deermouse	M	59.97	76.75	136.72	19.11	13.31
21	deermouse	F	54.27	66.79	121.06	18.34	12.52
21	deermouse	M	67.8	86.38	154.18	19.3	15.41
26	deermouse	M	60.89	74.39	135.28	18.47	12.7
26	deermouse	F	64.04	75.08	139.12	19.39	12.05
